datetime,price
6/28/2017 1:30,2514.18
6/28/2017 1:31,2329.15
6/28/2017 1:31,2514.18
6/28/2017 1:32,2329
6/28/2017 1:32,2528.19
6/28/2017 1:33,2328.99
6/28/2017 1:33,2514.5
6/28/2017 1:34,2327.99
6/28/2017 1:34,2511.19
6/28/2017 1:35,2318.24
6/28/2017 1:35,2504.16
6/28/2017 1:36,2318
6/28/2017 1:36,2510.61
6/28/2017 1:37,2316.41
6/28/2017 1:37,2510
6/28/2017 1:38,2315.35
6/28/2017 1:38,2509.74
6/28/2017 1:39,2310
6/28/2017 1:39,2509.74
6/28/2017 1:40,2312.45
6/28/2017 1:40,2504.16
6/28/2017 1:41,2309.33
6/28/2017 1:41,2501
6/28/2017 1:42,2299.99
6/28/2017 1:42,2501
6/28/2017 1:43,2291
6/28/2017 1:43,2501.01
6/28/2017 1:44,2301.88
6/28/2017 1:44,2500.01
6/28/2017 1:45,2299
6/28/2017 1:45,2500.01
6/28/2017 1:46,2299
6/28/2017 1:46,2505.82
6/28/2017 1:47,2298
6/28/2017 1:47,2507.23
6/28/2017 1:48,2300
6/28/2017 1:48,2507.23
6/28/2017 1:49,2294.32
6/28/2017 1:49,2507.23
6/28/2017 1:50,2300
6/28/2017 1:50,2478.27
6/28/2017 1:51,2300
6/28/2017 1:51,2498.99
6/28/2017 1:52,2315.7
6/28/2017 1:52,2498.73
6/28/2017 1:53,2327
6/28/2017 1:53,2530.3
6/28/2017 1:54,2328.22
6/28/2017 1:54,2524.17
6/28/2017 1:55,2329.99
6/28/2017 1:55,2525.48
6/28/2017 1:56,2333
6/28/2017 1:56,2529.73
6/28/2017 1:57,2333.29
6/28/2017 1:57,2531.63
6/28/2017 1:58,2333
6/28/2017 1:58,2536.56
6/28/2017 1:59,2333.01
6/28/2017 1:59,2536.12
6/28/2017 2:00,2344
6/28/2017 2:00,2536.24
6/28/2017 2:01,2346.15
6/28/2017 2:01,2546.48
6/28/2017 2:02,2346.13
6/28/2017 2:02,2531.64
6/28/2017 2:03,2338.99
6/28/2017 2:03,2538.97
6/28/2017 2:04,2335.08
6/28/2017 2:04,2538.61
6/28/2017 2:05,2332.89
6/28/2017 2:05,2538.62
6/28/2017 2:06,2330.24
6/28/2017 2:06,2538.6
6/28/2017 2:07,2334.02
6/28/2017 2:07,2531.65
6/28/2017 2:08,2330
6/28/2017 2:08,2531.65
6/28/2017 2:09,2318.3
6/28/2017 2:09,2531.64
6/28/2017 2:10,2318.3
6/28/2017 2:10,2521.75
6/28/2017 2:11,2318.55
6/28/2017 2:11,2529.17
6/28/2017 2:12,2326.92
6/28/2017 2:12,2521.75
6/28/2017 2:13,2318.01
6/28/2017 2:13,2521.75
6/28/2017 2:14,2318.1
6/28/2017 2:14,2522.37
6/28/2017 2:15,2320
6/28/2017 2:15,2522.09
6/28/2017 2:16,2329.28
6/28/2017 2:16,2519.75
6/28/2017 2:17,2324.11
6/28/2017 2:17,2521.76
6/28/2017 2:18,2325.17
6/28/2017 2:18,2525.01
6/28/2017 2:19,2331.2
6/28/2017 2:19,2516.67
6/28/2017 2:20,2325
6/28/2017 2:20,2513.99
6/28/2017 2:21,2318.71
6/28/2017 2:21,2507.02
6/28/2017 2:22,2318.38
6/28/2017 2:22,2521.71
6/28/2017 2:23,2318.35
6/28/2017 2:23,2508.8
6/28/2017 2:24,2318.35
6/28/2017 2:24,2515
6/28/2017 2:25,2323.68
6/28/2017 2:25,2511.96
6/28/2017 2:26,2318.38
6/28/2017 2:26,2508.94
6/28/2017 2:27,2325.68
6/28/2017 2:27,2515
6/28/2017 2:28,2322.08
6/28/2017 2:28,2507.26
6/28/2017 2:29,2322.04
6/28/2017 2:29,2500.02
6/28/2017 2:30,2326
6/28/2017 2:30,2500.02
6/28/2017 2:31,2320.47
6/28/2017 2:31,2505
6/28/2017 2:32,2324.77
6/28/2017 2:32,2517
6/28/2017 2:33,2323.38
6/28/2017 2:33,2518
6/28/2017 2:34,2331.49
6/28/2017 2:34,2523.99
6/28/2017 2:35,2331.99
6/28/2017 2:35,2523.99
6/28/2017 2:36,2331.76
6/28/2017 2:36,2533.39
6/28/2017 2:37,2333.98
6/28/2017 2:37,2533.3
6/28/2017 2:38,2332.01
6/28/2017 2:38,2536.21
6/28/2017 2:39,2333.98
6/28/2017 2:39,2534.12
6/28/2017 2:40,2333.99
6/28/2017 2:40,2532.96
6/28/2017 2:41,2335.85
6/28/2017 2:41,2529.87
6/28/2017 2:42,2329.26
6/28/2017 2:42,2529.87
6/28/2017 2:43,2326.08
6/28/2017 2:43,2529.87
6/28/2017 2:44,2332
6/28/2017 2:44,2529.03
6/28/2017 2:45,2334
6/28/2017 2:45,2544.97
6/28/2017 2:46,2336
6/28/2017 2:46,2543.49
6/28/2017 2:47,2337.99
6/28/2017 2:47,2536.24
6/28/2017 2:48,2337.7
6/28/2017 2:48,2538.06
6/28/2017 2:49,2339.99
6/28/2017 2:49,2543.49
6/28/2017 2:50,2342.23
6/28/2017 2:50,2546.06
6/28/2017 2:51,2348
6/28/2017 2:51,2552.58
6/28/2017 2:52,2348.65
6/28/2017 2:52,2550.98
6/28/2017 2:53,2351.89
6/28/2017 2:53,2551.74
6/28/2017 2:54,2341.53
6/28/2017 2:54,2549.32
6/28/2017 2:55,2350
6/28/2017 2:55,2551.63
6/28/2017 2:56,2349.96
6/28/2017 2:56,2550.66
6/28/2017 2:57,2345.86
6/28/2017 2:57,2545.59
6/28/2017 2:58,2350
6/28/2017 2:58,2553.63
6/28/2017 2:59,2350
6/28/2017 2:59,2556.7
6/28/2017 3:00,2350.7
6/28/2017 3:00,2558.99
6/28/2017 3:01,2353
6/28/2017 3:01,2560
6/28/2017 3:02,2354
6/28/2017 3:02,2552.64
6/28/2017 3:03,2353.99
