Date,Close,Volume
2016-01-04,26.337499618530273,270597600
2016-01-05,25.677499771118164,223164000
2016-01-06,25.174999237060547,273829600
2016-01-07,24.112499237060547,324377600
2016-01-08,24.239999771118164,283192000
2016-01-11,24.63249969482422,198957600
2016-01-12,24.989999771118164,196616800
2016-01-13,24.34749984741211,249758400
2016-01-14,24.8799991607666,252680400
2016-01-15,24.282499313354492,319335600
2016-01-19,24.165000915527344,212350800
2016-01-20,24.197500228881836,289337600
2016-01-21,24.075000762939453,208646000
2016-01-22,25.354999542236328,263202000
2016-01-25,24.860000610351562,207178000
2016-01-26,24.997499465942383,300308000
2016-01-27,23.354999542236328,533478800
2016-01-28,23.522499084472656,222715200
2016-01-29,24.334999084472656,257666000
2016-02-01,24.107500076293945,163774000
2016-02-02,23.6200008392334,149428800
2016-02-03,24.087499618530273,183857200
2016-02-04,24.149999618530273,185886800
2016-02-05,23.5049991607666,185672400
2016-02-08,23.752500534057617,216085600
2016-02-09,23.747499465942383,177324800
2016-02-10,23.5674991607666,169374400
2016-02-11,23.424999237060547,200298800
2016-02-12,23.497499465942383,161405600
2016-02-16,24.15999984741211,196231600
2016-02-17,24.530000686645508,179452800
2016-02-18,24.065000534057617,156084000
2016-02-19,24.010000228881836,141496800
2016-02-22,24.219999313354492,137123200
2016-02-23,23.672500610351562,127770400
2016-02-24,24.024999618530273,145022800
2016-02-25,24.190000534057617,110330800
2016-02-26,24.227500915527344,115964400
2016-02-29,24.172500610351562,140865200
2016-03-01,25.13249969482422,201628400
2016-03-02,25.1875,132678400
2016-03-03,25.375,147822800
2016-03-04,25.752500534057617,184220400
2016-03-07,25.467500686645508,143315600
2016-03-08,25.25749969482422,126247600
2016-03-09,25.280000686645508,108806800
2016-03-10,25.292499542236328,134054400
2016-03-11,25.565000534057617,109632800
2016-03-14,25.6299991607666,100304400
2016-03-15,26.145000457763672,160270800
2016-03-16,26.49250030517578,153214000
2016-03-17,26.450000762939453,137682800
2016-03-18,26.479999542236328,176820800
2016-03-21,26.477500915527344,142010800
2016-03-22,26.68000030517578,129777600
2016-03-23,26.532499313354492,102814000
2016-03-24,26.417499542236328,104532000
2016-03-28,26.297500610351562,77645600
2016-03-29,26.920000076293945,124760400
2016-03-30,27.389999389648438,182404400
2016-03-31,27.247499465942383,103553600
2016-04-01,27.497499465942383,103496000
2016-04-04,27.780000686645508,149424800
2016-04-05,27.452499389648438,106314800
2016-04-06,27.739999771118164,105616400
2016-04-07,27.135000228881836,127207600
2016-04-08,27.165000915527344,94326800
2016-04-11,27.2549991607666,117630000
2016-04-12,27.610000610351562,108929200
2016-04-13,28.010000228881836,133029200
2016-04-14,28.024999618530273,101895600
2016-04-15,27.462499618530273,187756000
2016-04-18,26.8700008392334,243286000
2016-04-19,26.727500915527344,129539600
2016-04-20,26.782499313354492,122444000
2016-04-21,26.49250030517578,126210000
2016-04-22,26.420000076293945,134732400
2016-04-25,26.270000457763672,112126400
2016-04-26,26.087499618530273,224064800
2016-04-27,24.454999923706055,458408400
2016-04-28,23.707500457763672,328970800
2016-04-29,23.434999465942383,274126000
2016-05-02,23.40999984741211,192640400
2016-05-03,23.795000076293945,227325200
2016-05-04,23.547500610351562,164102000
2016-05-05,23.309999465942383,143562000
2016-05-06,23.18000030517578,174799600
2016-05-09,23.197500228881836,131745600
2016-05-10,23.354999542236328,134747200
2016-05-11,23.127500534057617,114876400
2016-05-12,22.584999084472656,305258800
2016-05-13,22.6299991607666,177571200
2016-05-16,23.469999313354492,245039200
2016-05-17,23.372499465942383,187667600
2016-05-18,23.639999389648438,168249600
2016-05-19,23.549999237060547,121768400
2016-05-20,23.80500030517578,128104000
2016-05-23,24.107500076293945,152074400
2016-05-24,24.475000381469727,140560800
2016-05-25,24.905000686645508,152675200
2016-05-26,25.102500915527344,225324800
2016-05-27,25.087499618530273,145364800
2016-05-31,24.96500015258789,169228800
2016-06-01,24.614999771118164,116693200
2016-06-02,24.43000030517578,160766400
2016-06-03,24.479999542236328,114019600
2016-06-06,24.657499313354492,93170000
